Origin,Terminal Destination,Occurrences,,
SAP,AMS,2,,
SAP,LGA,2,,
SAP,YYZ,2,,
SAP,SJO,2,,
SAP,DFW,2,,
SAP,PHL,2,,
SAP,BOG,2,,
BOG,MSP,2,,
GRU,MSP,2,,
BOG,CJC,2,,
BOG,IST,2,,
BOG,PCL,2,,
BOG,GVA,2,,
BOG,VSA,2,,
BOG,SLZ,2,,
BOG,SAW,2,,
BOG,CTM,2,,
BOG,IPC,2,,
BOG,ATH,2,,
BOG,HKG,2,,
BOG,LIS,2,,
BOG,VVI,2,,
BOG,CGN,2,,
BOG,ACE,2,,
BOG,SVQ,2,,
BOG,LSP,2,,
BOG,CMH,2,,
BOG,SFD,2,,
BOG,AGP,2,,
BOG,AUS,2,,
BOG,PRG,2,,
BOG,SVI,2,,
BOG,DME,2,,
BOG,DUB,2,,
BOG,BGO,2,,
BOG,OPO,2,,
BOG,YOW,2,,
BOG,ZRH,2,,
BOG,SJC,2,,
BOG,CNF,2,,
BOG,FMA,2,,
BOG,PHL,2,,
GRU,PNQ,1,,
GRU,SJU,1,,
GRU,FPO,1,,
GRU,ASR,1,,
GRU,TXF,1,,
GRU,LGQ,1,,
GRU,SVQ,1,,
GRU,BHM,1,,
GRU,DYU,1,,
GRU,BGY,1,,
GRU,CGK,1,,
GRU,CVG,1,,
GRU,CRL,1,,
GRU,TUN,1,,
GRU,BSR,1,,
GRU,KUL,1,,
GRU,SMR,1,,
GRU,BTR,1,,
GRU,YVR,1,,
GRU,AGP,1,,
GRU,MRU,1,,
CCS,OAX,1,,
CCS,SJU,1,,
GRU,DAR,1,,
CCS,MCZ,1,,
GRU,SNA,1,,
CCS,SMR,1,,
GRU,BJX,1,,
CCS,CNF,1,,
CCS,SFO,1,,
GRU,KRT,1,,
CCS,BRU,1,,
CCS,LGW,1,,
GRU,PAV,1,,
CCS,LUZ,1,,
CCS,NAT,1,,
CCS,FIH,1,,
GRU,PSO,1,,
CCS,ORY,1,,
CCS,XRY,1,,
GRU,MID,1,,
CCS,COR,1,,
CCS,RUH,1,,
CCS,GIG,1,,
CCS,IBE,1,,
CCS,MSP,1,,
CCS,FLN,1,,
