Origin,Origin Name,Origin City,Origin State,Origin Country,Destination,Destination Name,Destination City,Destination State,Destination Country,Occurrences,Total Seats
BOG,El Dorado Intl,Bogota,,Colombia,PCR,German Olano,Puerto Carreno,,Colombia,4,380
BOG,El Dorado Intl,Bogota,,Colombia,TCO,La Florida,Tumaco,,Colombia,2,272
BOG,El Dorado Intl,Bogota,,Colombia,PDA,Obando,Puerto Inirida,,Colombia,3,228
BOG,El Dorado Intl,Bogota,,Colombia,CZU,Las Brujas,Corozal,,Colombia,3,222
BOG,El Dorado Intl,Bogota,,Colombia,LMC,La Macarena,La Macarena,,Colombia,2,216
BOG,El Dorado Intl,Bogota,,Colombia,RVE,Los Colonizadores,Saravena,,Colombia,2,216
BOG,El Dorado Intl,Bogota,,Colombia,SJE,Jorge E. Gonzalez T.,San Jose Del Guaviar,,Colombia,3,216
BOG,El Dorado Intl,Bogota,,Colombia,MVP,Fabio A. Leon Bentley,Mitu,,Colombia,2,152
BOG,El Dorado Intl,Bogota,,Colombia,PTX,Pitalito Airport,Pitalito,,Colombia,2,144
BOG,El Dorado Intl,Bogota,,Colombia,APO,Carepa-A.R. Betancourt,Apartado,,Colombia,1,72
BOG,El Dorado Intl,Bogota,,Colombia,BUN,Gerardo Tobar Lopez,Buenaventura,,Colombia,1,72
BOG,El Dorado Intl,Bogota,,Colombia,VGZ,Villagarzon,Villagarzon,,Colombia,1,72
BOG,El Dorado Intl,Bogota,,Colombia,HAV,Jose Marti Intl,Havana,,Cuba,8,1669
BOG,El Dorado Intl,Bogota,,Colombia,CUR,Hato International,Curacao,,Curacao,3,630
BOG,El Dorado Intl,Bogota,,Colombia,PUJ,Punta Cana International,Punta Cana,,Dominican Republic,6,2188
BOG,El Dorado Intl,Bogota,,Colombia,SDQ,Las Americas International,Santo Domingo,,Dominican Republic,4,1740
BOG,El Dorado Intl,Bogota,,Colombia,UIO,Mariscal Sucre Intl,Quito,,Ecuador,14,8450
BOG,El Dorado Intl,Bogota,,Colombia,GYE,Jose Joaquin de Olmedo,Guayaquil,,Ecuador,5,1350
BOG,El Dorado Intl,Bogota,,Colombia,SAL,El Salvador Intl,San Salvador,,El Salvador,3,584
